,Annee de Naissance,Sexe,Domaine,Type de poste,Campus,Annee de recrutement,Annee de fin de contrat
0,1991,F,Management de projet,CDD,Bastia,2011,2029
1,1983,F,RH,CDI,Bastia,2006,2021
2,1983,H,Management de projet,CDI,Marseille,2012,2014
3,1996,H,RH,Stagiaire,Tourcoing,2021,2027
4,1989,F,Management de projet,CDI,Lyon,2007,2019
5,1977,H,RH,Stagiaire,Lyon,2007,2029
6,1994,H,Management de projet,Freelance,Marseille,2023,2024
7,1996,F,Ventes et support,Stagiaire,Tourcoing,2016,2023
8,1977,H,R&D,Stagiaire,Toulouse,2008,2023
9,1979,H,Ingenieur,Freelance,Pau,2015,2017
10,2004,H,Technicien,Freelance,Velizy,2022,2024
11,1986,H,RH,Freelance,Marseille,2013,2019
12,1993,H,Ventes et support,Stagiaire,Agen,2023,2024
13,1978,F,RH,Stagiaire,Nice,2010,2018
14,1983,H,Ingenieur,Stagiaire,Velizy,2002,2022
15,1977,H,Ventes et support,Freelance,Rennes,2011,2024
16,1982,H,Ingenieur,CDD,Marseille,2010,2029
17,1983,H,RH,CDI,Marseille,2016,2027
18,1982,H,Management de projet,Stagiaire,Bastia,2001,2004
19,1984,F,Ingenieur,Stagiaire,Nice,2022,2027
20,1991,F,R&D,Freelance,Agen,2022,2024
21,1999,H,RH,CDI,Bastia,2023,2026
22,1990,F,RH,CDD,Nice,2014,2018
23,2004,F,R&D,Stagiaire,Rennes,2022,2028
24,1985,H,Ingenieur,CDI,Agen,2013,2028
25,1980,F,Technicien,CDI,Rennes,2015,2016
26,1996,F,Ventes et support,CDD,Rennes,2017,2029
27,1983,F,RH,Freelance,Tourcoing,2020,2025
28,1993,F,R&D,Freelance,Nice,2012,2023
29,1986,H,R&D,Stagiaire,Lyon,2004,2017
30,1982,H,Management de projet,CDI,Pau,2003,2010
31,2003,H,Technicien,Alternance,Marseille,2022,2027
32,1987,H,RH,Stagiaire,Pau,2021,2022
33,1989,H,RH,CDD,Marseille,2021,2029
34,1992,H,Management de projet,Freelance,Velizy,2023,2024
35,1997,H,Ingenieur,CDD,Lyon,2018,2025
36,2001,H,Technicien,Stagiaire,Bastia,2022,2023
37,1988,F,Technicien,CDI,Agen,2006,2028
38,1991,F,Management de projet,Freelance,Rennes,2010,2025
39,1993,F,Ingenieur,Freelance,Velizy,2023,2028
40,1997,H,R&D,Stagiaire,Marseille,2019,2022
41,1991,H,Technicien,Freelance,Rennes,2018,2024
42,1977,F,Ingenieur,Alternance,Toulouse,1999,2003
43,1988,H,Ingenieur,CDI,Agen,2010,2022
44,1991,F,Ingenieur,Stagiaire,Lyon,2015,2022
45,2000,F,Ventes et support,Freelance,Velizy,2023,2028
46,2002,H,RH,Freelance,Pau,2020,2026
47,1982,F,RH,Stagiaire,Marseille,2022,2029
48,1991,F,R&D,Stagiaire,Nice,2017,2029
49,1993,H,R&D,Stagiaire,Velizy,2021,2029
50,1981,F,RH,Alternance,Marseille,2001,2020
51,1987,H,Management de projet,CDI,Lyon,2014,2016
52,2000,H,Technicien,CDI,Tourcoing,2019,2020
53,1994,F,Ingenieur,CDD,Tourcoing,2022,2027
54,1984,H,Ingenieur,Alternance,Marseille,2016,2025
55,1976,F,Ventes et support,Alternance,Rennes,2006,2015
56,2004,H,RH,Stagiaire,Pau,2023,2025
57,1993,H,R&D,Freelance,Nice,2012,2020
58,1981,H,Technicien,CDI,Rennes,2003,2012
59,1988,H,Ventes et support,Freelance,Nice,2019,2023
60,2000,F,R&D,CDI,Agen,2022,2023
61,1993,F,R&D,CDD,Lyon,2012,2014
62,1977,F,Ingenieur,Alternance,Pau,2020,2023
63,1983,F,Ingenieur,Alternance,Lyon,2008,2024
64,1992,F,Management de projet,Stagiaire,Agen,2022,2024
65,1985,F,Technicien,CDD,Nice,2020,2025
66,1978,F,Ingenieur,Alternance,Toulouse,2007,2024
67,1987,H,R&D,CDD,Toulouse,2022,2027
68,1979,F,Management de projet,CDD,Nice,2019,2027
69,2001,H,RH,CDI,Nice,2023,2028
70,1983,H,R&D,Stagiaire,Marseille,2004,2027
71,1980,H,Ingenieur,Alternance,Agen,2015,2027
72,1977,F,Management de projet,Freelance,Nice,2022,2028
73,1986,H,RH,CDD,Nice,2006,2022
74,1995,H,Management de projet,Stagiaire,Marseille,2014,2024
75,1986,H,R&D,CDD,Tourcoing,2021,2025
76,1986,F,Ventes et support,Alternance,Nice,2011,2029
77,2004,F,Technicien,Stagiaire,Marseille,2022,2025
78,2003,H,Ingenieur,CDI,Nice,2022,2025
79,1985,H,Ingenieur,Freelance,Velizy,2013,2024
80,1992,H,Technicien,Alternance,Marseille,2011,2015
81,1979,H,RH,CDI,Lyon,2010,2027
82,1997,H,R&D,CDD,Velizy,2022,2023
83,1985,F,Ventes et support,Freelance,Nice,2016,2019
84,1998,H,R&D,CDD,Lyon,2023,2028
85,1987,H,Management de projet,CDD,Lyon,2020,2023
86,2003,H,RH,CDD,Nice,2021,2022
87,2000,H,Technicien,CDI,Bastia,2019,2020
88,1976,F,RH,CDI,Toulouse,2021,2027
89,1982,H,Ventes et support,Freelance,Marseille,2010,2016
90,1979,H,RH,Freelance,Marseille,2022,2024
91,1988,F,Technicien,Stagiaire,Lyon,2017,2023
92,1987,F,RH,CDI,Toulouse,2011,2015
93,1995,F,Technicien,Alternance,Agen,2017,2023
94,1979,F,Technicien,Stagiaire,Lyon,2004,2009
95,2003,F,Ingenieur,Freelance,Marseille,2023,2024
96,1983,H,R&D,Freelance,Tourcoing,2003,2027
97,1998,F,Management de projet,Freelance,Bastia,2023,2028
98,1976,F,Ventes et support,CDD,Marseille,2007,2027
99,2004,F,Technicien,CDD,Rennes,2022,2026
100,1993,H,Ingenieur,CDI,Agen,2023,2024
101,1990,H,R&D,CDI,Marseille,2016,2020
102,1994,F,Technicien,Stagiaire,Nice,2012,2023
103,1992,H,Ingenieur,Alternance,Toulouse,2016,2022
104,1997,H,Management de projet,CDD,Marseille,2016,2018
